Timestamp,Source IP,Destination IP,Protocol,Src Port,Dst Port,Size
2025-07-29 00:10:39,192.168.49.58,224.0.0.251,DNS,5353,5353,341
2025-07-29 00:10:39,192.168.48.1,192.168.48.223,ARP,,,60
2025-07-29 00:10:39,192.168.48.223,239.255.255.250,UDP,58241,1900,167
2025-07-29 00:10:39,192.168.49.12,224.0.0.251,DNS,5353,5353,463
2025-07-29 00:10:38,192.168.0.1,239.255.255.250,UDP,52934,1900,522
2025-07-29 00:10:38,192.168.0.1,239.255.255.250,UDP,52934,1900,528
2025-07-29 00:10:38,192.168.0.1,239.255.255.250,UDP,52934,1900,469
2025-07-29 00:10:38,192.168.0.1,239.255.255.250,UDP,52934,1900,540
2025-07-29 00:10:38,192.168.0.1,239.255.255.250,UDP,52934,1900,508
2025-07-29 00:10:38,192.168.0.1,239.255.255.250,UDP,52934,1900,469
2025-07-29 00:10:38,192.168.0.1,239.255.255.250,UDP,52934,1900,524
2025-07-29 00:10:38,192.168.0.1,239.255.255.250,UDP,52934,1900,532
2025-07-29 00:10:38,192.168.0.1,239.255.255.250,UDP,52934,1900,469
2025-07-29 00:10:38,192.168.0.1,239.255.255.250,UDP,52934,1900,460
2025-07-29 00:10:38,192.168.48.1,192.168.49.151,ARP,,,60
2025-07-29 00:10:38,192.168.48.223,239.255.255.250,UDP,58241,1900,167
2025-07-29 00:10:38,192.168.48.223,224.0.0.251,DNS,5353,5353,87
2025-07-29 00:10:38,192.168.49.151,224.0.0.251,DNS,5353,5353,87
2025-07-29 00:10:38,192.168.49.151,239.255.255.250,UDP,45595,1900,167
2025-07-29 00:10:38,192.168.48.1,192.168.50.43,ARP,,,60
2025-07-29 00:10:38,192.168.49.12,224.0.0.251,DNS,5353,5353,463
2025-07-29 00:10:38,192.168.48.1,192.168.51.8,ARP,,,60
2025-07-29 00:10:38,192.168.48.1,192.168.51.8,ARP,,,60
2025-07-29 00:10:38,192.168.49.74,239.255.255.250,UDP,47240,1900,167
2025-07-29 00:10:38,192.168.49.151,192.168.51.255,UDP,57621,57621,82
2025-07-29 00:10:38,192.168.48.223,239.255.255.250,UDP,58241,1900,167
2025-07-29 00:10:38,192.168.50.111,224.0.0.251,DNS,5353,5353,156
2025-07-29 00:10:38,192.168.50.111,224.0.0.251,DNS,5353,5353,122
2025-07-29 00:10:38,192.168.49.151,224.0.0.251,DNS,5353,5353,87
2025-07-29 00:10:38,192.168.48.223,224.0.0.251,DNS,5353,5353,87
2025-07-29 00:10:38,192.168.49.151,239.255.255.250,UDP,45595,1900,167
2025-07-29 00:10:38,192.168.49.48,224.0.0.251,DNS,5353,5353,82
2025-07-29 00:10:38,192.168.49.48,224.0.0.251,DNS,5353,5353,82
2025-07-29 00:10:38,192.168.48.6,192.168.48.6,ARP,,,60
2025-07-29 00:10:38,192.168.48.223,239.255.255.250,UDP,58241,1900,167
2025-07-29 00:10:38,-,-,OTHER,,,78
2025-07-29 00:10:38,-,-,OTHER,,,78
2025-07-29 00:10:38,-,-,OTHER,,,78
